track_id,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3369956,144,F,Major,73,87,70,6,0,28,5
1207987,192,B,Major,50,85,52,11,0,28,6
3007244,163,,Major,54,40,67,0,0,9,17
7325433,122,C#,Minor,66,48,71,6,0,12,4
6698200,154,D,Major,61,41,74,21,0,40,6
3153550,117,A,Minor,73,31,69,6,0,11,4
7143216,138,G,Minor,78,89,83,10,0,12,5
7806612,96,,Major,86,74,80,33,0,8,6
1928790,104,C#,Major,77,36,63,1,0,36,5
6735267,164,G#,Major,45,24,62,8,0,16,3
1961503,118,,Major,68,61,82,2,0,50,3
3451143,81,B,Minor,68,51,60,3,0,19,10
6552512,117,C#,Major,82,73,45,54,0,7,3
1630789,174,D,Major,45,10,37,97,25,64,4
4242212,128,C#,Major,73,60,77,3,0,11,4
3509026,145,,Major,60,43,27,94,0,14,4
1611239,150,C#,Minor,65,51,55,73,0,14,3
6609930,90,A,Minor,60,13,53,4,0,21,4
2664577,85,F,Major,55,42,53,17,0,22,3
8580552,180,D#,Major,33,38,71,20,0,28,5
6720570,166,C#,Major,57,84,94,11,0,37,9
6320673,160,G#,Major,71,40,50,16,0,16,22
2031309,160,G,Major,65,95,80,5,0,41,16
5999455,92,D,Major,70,81,63,4,0,8,4
5675634,170,,Major,56,53,64,11,0,45,6
4299313,96,C#,Minor,83,93,65,58,0,9,8
4795987,120,G#,Major,67,40,52,86,0,12,4
5836808,98,,Major,70,37,54,6,0,9,8
6316146,92,G,Major,53,12,34,1,0,12,4
4812397,150,A,Major,34,24,56,4,0,11,3
1323431,94,F,Major,37,17,47,2,46,11,3
6293464,90,E,Minor,74,36,63,26,0,27,5
8897005,160,A,Major,54,54,55,67,0,42,11
2020928,120,,Major,70,59,75,24,0,9,4
2008299,109,F,Major,63,46,85,1,0,9,5
7256696,129,E,Minor,57,41,66,63,0,12,5
4031115,157,G,Major,54,75,60,30,0,7,5
3090144,130,F#,Major,63,49,73,5,0,9,3
6322459,107,F,Minor,65,19,72,10,0,13,25
3054476,146,B,Minor,50,67,89,0,0,19,8
4341380,139,A,Minor,48,37,41,32,0,10,10
6250958,116,,Major,74,76,70,7,0,13,3
6057014,95,F#,Minor,84,52,77,12,0,7,4
7948655,170,G#,Minor,62,55,80,15,0,37,7
5279142,134,F#,Minor,81,18,64,3,0,10,11
7451979,84,F#,Minor,57,86,90,2,0,9,5
6470158,146,B,Minor,61,20,48,21,0,12,6
8666108,74,A#,Minor,53,24,67,11,0,10,28
6136667,144,B,Major,75,35,48,84,0,10,12
8123858,136,B,Minor,77,79,73,15,0,27,10
3747351,100,E,Major,56,53,55,53,0,12,4
1274739,105,F,Minor,89,67,78,9,0,7,33
2101565,106,F,Major,67,24,78,15,0,30,4
1710471,132,D,Major,85,53,68,40,0,9,4
8125634,120,A,Major,78,5,30,21,0,13,5
2969049,155,C#,Major,82,51,39,2,0,9,49
6271365,129,G#,Major,70,42,43,78,0,11,3
4004325,135,F,Minor,80,85,74,62,0,8,9
5229182,98,A#,Minor,73,45,62,28,0,13,13
4837745,124,A,Minor,84,64,39,3,0,11,4
4866757,135,A,Minor,77,28,55,18,0,22,15
1956320,107,D,Major,78,39,53,30,0,11,6
3608552,96,D,Major,54,25,74,14,0,9,11
1443757,123,G#,Major,71,58,70,30,0,32,19
1452364,90,G#,Major,62,7,62,6,0,58,6
3512881,117,F,Minor,72,45,59,14,0,20,21
8171349,133,A,Minor,78,90,84,31,0,7,4
1054764,96,G#,Minor,74,61,83,11,0,35,6
6794169,149,G#,Major,66,85,60,40,0,14,13
1166211,110,F#,Minor,66,32,40,81,0,11,3
7137376,105,F#,Major,95,62,52,3,0,5,16
6620188,105,C#,Major,80,69,78,28,0,11,14
4053069,134,B,Major,76,61,58,6,0,16,3
6286315,170,E,Minor,71,59,56,4,0,27,12
8346639,81,F#,Major,59,26,60,46,1,25,13
2098417,154,F#,Major,63,75,92,31,0,91,5
4334346,169,C#,Major,69,69,51,63,0,38,4
1936158,115,G,Major,78,64,69,4,0,7,14
1193878,84,A,Minor,43,14,74,1,0,19,8
5495832,93,G#,Major,79,58,62,11,0,11,23
1183111,91,G,Major,82,47,62,10,0,10,15
2754241,142,A#,Minor,82,54,44,6,0,33,7
5158640,126,C#,Major,78,20,70,1,0,16,4
2987008,97,A#,Major,73,10,44,26,0,16,8
6436155,101,F,Major,92,59,51,41,51,26,8
1621586,98,G,Minor,80,23,48,14,0,6,5
6845168,154,F#,Major,59,63,89,18,0,80,9
1743307,120,A,Major,91,63,58,52,0,31,22
3910891,150,B,Major,49,4,55,7,0,6,3
8213022,174,A,Major,47,27,78,11,0,10,8
8641758,202,A#,Major,34,25,51,69,0,18,4
4604858,153,B,Minor,56,42,52,5,0,36,24
7732446,142,F,Major,60,13,37,58,0,13,3
4165407,108,A,Minor,84,55,47,26,0,20,64
5554493,143,B,Major,83,25,69,4,0,23,12
1488746,108,D,Major,67,55,67,60,0,80,5
2670198,104,F,Minor,95,78,66,3,0,4,6
5478299,93,F#,Minor,84,96,79,43,0,18,11
8465611,105,F#,Minor,65,46,53,16,0,9,5
2434062,170,G#,Major,44,27,32,89,0,14,5
6675451,178,C#,Minor,62,56,66,18,0,12,5
6895326,176,F#,Minor,50,44,76,10,0,32,5
2012053,104,E,Minor,80,38,88,11,0,11,5
1442233,85,G,Major,70,83,84,31,0,47,30
