track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
2391919,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666
2553984,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074
2770990,Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385
3894522,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358
7624098,S91,Karol G,1,2023,7,14,525,41,16011326
2685773,cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557
1849027,T��,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664
1726395,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624
2577311,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240
3276282,BESO,"Rauw Alejandro, ROSAL�",2,2023,3,24,4053,50,357925728
1899106,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710
4527090,Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421
7370086,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836
4890110,People,Libianca,1,2022,12,2,3506,56,373199958
4487095,Overdrive,Post Malone,1,2023,7,14,410,36,14780425
6801500,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178
3670203,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102
8788368,Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762
3183051,golden hour,JVKE,1,2022,7,15,4511,36,751134527
8895699,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485
4431554,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093
3126367,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789
5898111,Here With Me,d4vd,1,2022,7,17,3246,23,635412045
2302386,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890
2415106,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368
4847849,CORAZ��N VA,Maria Becerra,1,2023,6,22,370,20,43857627
8502696,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673
7680579,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848
2162220,Novidade na ��,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092
6063105,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929
2023156,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922
7412049,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238
8408827,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814
3331159,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818
7159285,Makeba,Jain,1,2015,6,22,6060,53,165484133
8274842,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811
8499304,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870
4148996,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998
5560446,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248
5821993,Don���t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533
7179210,Still With You,Jung Kook,1,2020,6,5,31,39,38411956
7083603,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150
