track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
4162862,0,0,0,0,0
5972088,2,10,0,0,0
8704695,105,41,114,1,59
2296238,86,1,49,0,9
2023447,88,24,101,7,451
4492232,23,95,11,0,3
2817956,27,0,28,13,0
7349725,15,40,21,1,15
7526938,71,95,31,0,2
4562499,129,31,212,1,41
6204936,113,17,208,0,192
5300224,47,60,87,12,124
7304378,113,92,259,0,1
8292846,9,1,12,4,3
6363032,107,44,750,22,
6602768,13,78,2,0,0
2432426,12,1,11,0,8
4765423,69,76,335,0,
4978027,11,78,35,0,21
5937798,124,66,212,13,1
8756692,33,7,53,2,0
1239958,68,89,65,0,25
1776310,136,24,"1,959",0,30
5864281,82,1,231,0,2
1936946,21,79,2,0,0
2143818,537,122,"2,726",6,
8537557,12,56,13,0,13
2122853,57,119,77,1,13
3827734,128,84,75,0,35
6891911,532,77,"1,535",3,8
4635311,1,9,3,0,0
4794318,27,64,66,1,4
3378211,300,47,690,0,
1464404,78,21,240,1,52
1168222,43,53,134,1,32
5526636,54,32,66,2,0
6055373,14,1,50,0,0
8803071,72,97,58,0,154
8689972,22,51,12,0,0
3301347,38,45,36,16,0
2865125,57,44,183,1,11
3469822,9,0,15,0,1
7741272,39,45,27,0,1
1718193,12,22,12,0,2
3365981,120,86,164,4,0
6643902,104,17,76,9,2
1832626,117,1,676,3,0
1534505,0,0,5,0,0
6640464,14,1,17,0,2
6416915,238,122,557,17,58
1221828,34,54,34,0,2
1203746,344,97,945,15,
2009624,38,101,26,0,0
7477767,70,0,49,0,0
6775509,133,109,182,1,10
5415405,198,13,544,0,60
5346382,202,50,463,4,
7662363,2,4,6,0,0
8399372,173,79,175,0,168
3146245,8,18,20,0,1
3163708,26,98,4,0,0
2475712,4,0,14,0,0
1967014,56,38,"1,891",1,
4490744,387,132,"2,094",0,
7224008,274,111,"1,302",0,
8576945,191,168,206,0,
6372609,165,99,104,0,
7546342,35,0,549,0,0
1236328,231,106,439,0,
5350503,182,107,160,0,1
4277985,88,1,277,0,0
2886961,85,110,500,0,
4278371,144,99,251,0,0
4069645,21,3,10,0,0
4319986,5,0,291,0,0
5666047,195,111,310,0,0
6900582,114,74,262,0,0
6791135,5,31,1,0,0
4989276,16,63,8,0,0
2148200,130,1,390,0,0
3439901,7,29,3,0,0
4002890,108,120,73,0,0
3087104,140,72,251,0,0
8476304,1,0,29,0,0
3891081,209,30,449,0,0
5179092,16,20,4,0,0
4611820,6,21,3,0,0
4738813,90,35,5,0,0
8753775,126,108,406,0,0
7780139,6,18,1,0,0
7122267,13,87,17,0,46
6909746,73,79,123,0,0
6593931,50,0,6,0,0
3867590,121,58,212,0,0
2070479,3,17,2,0,0
4991676,5,9,1,0,0
2628329,14,22,0,0,0
7387090,72,90,141,0,0
1291434,89,39,158,0,0
7699876,115,53,286,0,0
3461405,10,6,7,1,9
3305057,2,74,14,0,2
3782910,66,96,43,0,0
8283550,3,7,10,0,0
8173823,1,0,18,0,24
8167749,65,39,41,0,0
7103818,6,11,3,0,0
2587921,2,14,2,0,0
5282587,33,57,30,0,11
2284105,12,16,14,0,0
8164697,21,0,44,0,0
1218742,39,35,22,2,0
4662762,27,77,22,2,0
2616615,108,56,30,0,0
6879361,83,58,128,7,0
2678616,0,9,2,0,0
3341212,38,64,37,3,36
8597238,120,30,52,0,1
3092002,32,3,65,0,0
5602322,2,15,1,0,0
6143073,2,2,6,0,2
2468227,39,50,57,3,1
6389379,170,12,575,18,
7726159,81,77,133,0,
4491971,13,89,34,0,3
5380546,65,7,70,16,6
7853001,49,88,62,0,
6984128,183,63,465,0,11
7235348,95,89,44,0,
4365318,252,109,965,20,
4501584,7,47,15,0,0
6131592,11,29,14,0,0
8186517,24,0,396,0,0
5426643,18,77,61,0,1
1119309,17,80,38,0,0
6554843,259,55,461,1,
6145430,7,18,7,0,0
6386843,3,18,14,0,0
8360758,382,65,497,0,12
7432867,9,10,9,0,0
8480431,125,36,150,0,
7748090,275,19,738,0,
2468710,74,0,262,14,
7175350,1,8,6,0,0
4923571,38,48,20,0,0
2717112,1,17,11,0,0
2636311,173,7,298,0,4
7068825,68,18,75,0,1
2052397,183,64,964,9,75
8672552,67,13,139,0,40
8990379,61,65,53,6,0
2320654,44,109,131,0,
1001428,240,107,268,0,5
5737293,138,133,283,0,
7368008,114,172,284,2,
1198357,85,43,134,0,
1266830,34,23,118,0,
5750956,185,61,485,0,
2503884,14,3,81,0,0
6719600,50,49,30,1,2
2038144,1,5,6,0,0
2820520,105,7,199,0,0
8941056,32,0,12,0,0
3355993,0,2,2,0,0
5311211,45,0,107,0,0
6759871,54,21,57,1,0
4923214,56,8,104,0,10
1471634,33,102,93,0,30
2106751,52,15,35,0,1
5111873,138,24,133,0,1
6721865,188,75,268,6,16
8725160,42,2,57,0,
4439384,63,40,76,0,0
2079388,47,14,90,0,1
1297061,0,1,2,0,0
4421880,77,31,85,5,28
3252166,231,52,612,6,
3574464,189,166,525,9,25
3885692,20,4,15,1,3
