track_id,track_name,artist_s__name,artist_count,release_date,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts_moda,total_playlists,streams_int,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,mode,quartiles_streams,streams_classification,bpm_classification,danceability_classification,valence_classification,energy_classification,acousticness_classification,instrumentalness_classification,liveness_classification,speechiness_classification,spotify_playlists_classification,spotify_charts_classification,apple_playlists_classification,apple_charts_classification,deezer_playlists_classification,deezer_charts_classification,shazam_charts_classification,total_playlists_classification
3986213,ON THE STREET (WITH J. COLE),"J-HOPE, J. COLE",2,03/03/2023,615,2,22,82,8,0,9,631,116599790,94,68,81,82,53,0,9,13,Minor,1,Baixo,Baixo,Baixo,Alto,Alto,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
1166211,SNOW ON THE BEACH (FEAT. MORE LANA DEL REY),"LANA DEL REY, TAYLOR SWIFT",2,26/05/2023,359,2,1,0,9,0,0,377,60350538,110,66,32,40,81,0,11,3,Minor,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
7996425,"ARCNGEL: BZRP MUSIC SESSIONS, VOL","ARCANGEL, BIZARRAP",2,22/03/2023,654,3,11,3,18,1,1,690,100409613,124,72,79,78,55,0,15,30,Minor,1,Baixo,Baixo,Baixo,Alto,Alto,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
8024591,SEM ALIANA NO,"MC XENON, OS GEMEOS DA PUTARIA",2,23/12/2022,454,4,6,1,21,0,1,496,93587665,83,53,40,36,73,0,11,33,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
6271365,ABCDARIO,"JUNIOR H, EDEN MU",2,13/05/2023,262,5,8,60,4,1,109,270,89933133,129,70,42,43,78,0,11,3,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo
4004325,OBSESSED,"ABHIJAY SHARMA, RIAR SAAB",2,29/09/2022,161,6,10,79,2,0,42,165,71007139,135,80,85,74,62,0,8,9,Minor,1,Baixo,Baixo,Alto,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo
2162220,NOVIDADE NA ,"MC LIVINHO, DJ MATT D",2,23/06/2023,267,9,9,6,25,2,72,317,39709092,130,63,36,34,76,0,35,9,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo
1849027,T,"DENNIS, MC KEVIN O CHRIS",2,04/05/2023,731,15,27,17,73,4,167,877,111947664,130,86,59,96,50,1,9,5,Major,1,Baixo,Baixo,Alto,Baixo,Alto,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Alto,Baixo
8274842,MONTAGEM - FR PUNK,"AYPARIA, UNXBECTED",2,20/06/2012,641,50,1,52,8,0,1170,657,58054811,129,63,84,82,70,8,9,7,Major,1,Baixo,Baixo,Baixo,Alto,Alto,Alto,Alto,Baixo,Baixo,Baixo,Alto,Baixo,Baixo,Baixo,Baixo,Alto,Baixo
7762851,SAVIOR,"KENDRICK LAMAR, SAM DEW, BABY KEEM",3,13/05/2022,2291,0,9,0,8,0,0,2307,86176890,123,61,66,71,53,0,32,46,Major,1,Baixo,Baixo,Baixo,Baixo,Baixo,Alto,Baixo,Alto,Alto,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
